stock,horizon,model,bootstrap,bias2,var,noise,mse,bias_share,var_share,noise_share
364c0ad490cb4b9cb493c952b2124f17,5,garch,stationary,6.269852209180189e-07,3.441370526956308e-08,0.0,6.607106520821908e-07,0.9489558234638897,0.05208589442460223,0.0
364c0ad490cb4b9cb493c952b2124f17,10,garch,stationary,6.229666124229501e-07,4.1544538877503466e-08,0.0,6.636802605229039e-07,0.9386547249908019,0.06259721939714033,0.0
364c0ad490cb4b9cb493c952b2124f17,60,garch,stationary,1.5695601592405176e-05,2.8561768195495394e-07,0.0,1.597550692072103e-05,0.9824790956740909,0.017878473801948253,0.0
3991563a90bb4206bb6b780546d938d4,1,garch,stationary,2.059660903535182e-06,8.485007410350445e-08,0.0,2.1428139761566163e-06,0.9611944510598261,0.03959749891854487,0.0
3991563a90bb4206bb6b780546d938d4,5,garch,stationary,3.840258432307568e-06,4.4659785289430614e-08,0.0,3.8840250218912096e-06,0.9887316406725076,0.011498325844380083,0.0
3991563a90bb4206bb6b780546d938d4,10,garch,stationary,8.752217251714074e-06,3.331123468288549e-08,0.0,8.784862261703301e-06,0.9962839474294845,0.003791890378077112,0.0
3991563a90bb4206bb6b780546d938d4,60,garch,stationary,0.00011375485630578145,1.781573443571925e-08,0.0,0.00011377231572552844,0.9998465407016139,0.00015659112080217353,0.0
3ac4a780531644b1b9534b3ac6c8d5f6,1,garch,stationary,2.1904570789730134e-06,1.5201523890058196e-07,0.0,2.339432013095584e-06,0.9363200412370848,0.06497954975807667,0.0
3ac4a780531644b1b9534b3ac6c8d5f6,5,garch,stationary,1.8677599009716533e-06,7.690296686744125e-09,0.0,1.8752963917246623e-06,0.995981173543411,0.0041008433230501525,0.0
3ac4a780531644b1b9534b3ac6c8d5f6,10,garch,stationary,4.075060534052136e-06,1.0067199304898338e-08,0.0,4.0849263893709364e-06,0.9975848144180831,0.0024644750835886298,0.0
3ac4a780531644b1b9534b3ac6c8d5f6,60,garch,stationary,0.00013622950309257316,1.4174167095343558e-08,0.0,0.0001362433937763266,0.9998980450841071,0.00010403562846220317,0.0
3baa2ff424c8435d92fe32cfeed80ae7,1,garch,stationary,2.9154765483529886e-06,1.4808959026566407e-07,0.0,3.060604346813338e-06,0.9525819798918294,0.048385734804256245,0.0
3baa2ff424c8435d92fe32cfeed80ae7,5,garch,stationary,3.2610549660387733e-06,2.3036297912185865e-08,0.0,3.2836305379927153e-06,0.9931248136193354,0.007015496306800693,0.0
3baa2ff424c8435d92fe32cfeed80ae7,10,garch,stationary,5.859465453809542e-06,3.174986326769961e-08,0.0,5.890580319811887e-06,0.9947178606668521,0.005389938095048932,0.0
3baa2ff424c8435d92fe32cfeed80ae7,60,garch,stationary,0.00018980247183003556,2.795354213832151e-08,0.0,0.00018982986630133113,0.9998556893505257,0.00014725576476964252,0.0
405e4073fed64deda32f8d74362b15b1,1,garch,stationary,3.4474744905064093e-06,1.8381614745964466e-06,0.0,5.248872735610926e-06,0.6568028344671137,0.3502011893192719,0.0
405e4073fed64deda32f8d74362b15b1,5,garch,stationary,3.1935041309787804e-06,8.96393732640546e-07,0.0,4.0719699889665155e-06,0.7842651442991863,0.22013760785797315,0.0
405e4073fed64deda32f8d74362b15b1,10,garch,stationary,5.8870024574895084e-06,3.8161690594402275e-08,0.0,5.924400914272024e-06,0.9936873858937497,0.0064414429655612684,0.0
405e4073fed64deda32f8d74362b15b1,60,garch,stationary,0.0001176570412320382,7.411576145307925e-08,0.0,0.00011772967467826226,0.9993830489515702,0.0006295418861525494,0.0
43c3ace09a0a45b889073ce646bc6832,1,garch,stationary,1.8495749124687183e-06,1.8928860749853175e-07,0.0,2.0350777478172806e-06,0.9088472980712786,0.09301296115175597,0.0
43c3ace09a0a45b889073ce646bc6832,5,garch,stationary,1.1615287029351751e-06,6.816957947009034e-09,0.0,1.1682093217232439e-06,0.9942813170004379,0.00583539081587984,0.0
43c3ace09a0a45b889073ce646bc6832,10,garch,stationary,2.061791080115923e-06,2.6396699970754704e-08,0.0,2.087659846087262e-06,0.987608725616952,0.012644157533722737,0.0
